age,income,loan_amount,credit_limit,current_balance,credit_history_start,num_credit_lines,defaulted
59,24324,11706,61849,26518,2003,2,0
49,96323,48517,33044,25045,2005,2,0
35,29111,45486,20997,51876,1996,8,1
63,58110,30257,84751,52919,1986,1,0
28,36389,22736,28911,28103,1992,7,0
41,142177,43207,60533,37188,1984,5,1
59,61427,14281,87566,6845,2005,8,0
39,99579,2435,99870,87698,1982,1,0
43,48746,34339,19571,37674,1986,7,1
31,142883,36150,99463,20337,2018,5,0
31,107886,26821,62941,23313,1980,4,0
44,127141,27660,63005,27943,1996,7,1
56,20117,6084,91250,78949,2004,2,1
60,145808,17661,63712,1276,1982,1,0
44,132221,14507,48541,52151,1994,1,0
23,104471,8059,28387,18611,2008,1,0
42,132613,19271,98980,12944,2011,5,0
22,33234,46539,53908,53887,2005,7,0
44,149597,8491,90457,82442,1995,2,0
64,123864,48295,18057,50847,2004,8,0
50,73441,15859,69028,59653,2007,4,0
58,20846,9073,60731,87072,1988,3,0
22,30954,10077,29858,57622,1980,8,0
41,99239,21953,53689,28810,2008,2,0
53,133689,12383,49638,78842,2001,3,0
32,66514,3353,96598,11503,1995,3,0
42,108236,24821,51486,85761,2020,1,0
64,117579,38567,25567,37976,2020,6,0
45,148644,25860,34739,12590,1986,2,0
69,26469,22195,62804,11886,1993,1,1
47,50105,12939,8754,13866,2008,2,0
62,62101,26338,32044,67624,1998,6,1
48,84323,22730,72260,69899,1998,4,0
36,111922,22427,71912,33792,1981,6,0
35,78067,36196,13706,10764,2020,9,1
67,69376,28083,13894,87156,1994,8,0
64,65587,22510,23037,43727,1982,1,0
23,56976,45064,88986,79471,1990,8,0
57,124587,8813,86942,9068,2009,9,0
27,147534,32598,56612,8295,2019,6,0
41,87584,48182,34725,42160,1997,5,0
29,124537,28570,10926,12390,1981,6,0
59,98477,28082,14496,21131,2011,6,0
38,130911,30241,61447,76969,1987,9,1
24,62533,31678,34806,16038,2001,4,0
45,21828,45569,93199,53327,1985,2,0
34,21917,12745,46321,78064,1991,9,1
29,40618,27029,70095,22281,2019,2,0
46,52254,14025,27656,55189,2015,9,0
22,125292,37124,60147,49511,1994,2,0
40,136714,15288,96396,9605,2007,8,0
48,67362,24650,54666,2381,1997,9,0
67,40128,7540,87368,67634,1981,9,0
27,143781,33232,43787,20810,1992,9,1
64,131281,17422,67946,25322,1994,2,0
28,79383,4342,26727,42869,1999,4,0
67,85545,42846,73056,33955,2008,7,0
55,102180,36612,8081,62388,2021,2,0
34,107958,11396,39196,11207,2008,1,1
37,29865,18482,41735,88329,1982,3,0
56,22219,24411,85102,68628,1998,4,0
60,59809,47766,84578,29220,1982,8,1
24,136748,14261,30498,85050,1993,6,0
22,25287,4093,81865,75085,2019,2,0
26,146593,12722,36656,23031,1983,9,0
62,54387,23042,72695,71721,1990,2,1
24,28512,45413,42900,81807,2010,5,0
49,21342,48851,89899,72312,2011,4,1
38,83076,29087,52701,60766,2006,7,0
46,128872,33347,24033,13449,2009,8,0
64,39216,34756,15805,57699,1981,5,1
54,137512,40214,40851,82253,1988,5,0
30,136682,17335,31832,47092,2007,2,0
56,113070,29602,68437,64671,2010,8,0
34,99767,49901,18944,11350,2013,2,0
51,117829,35450,24873,69487,1994,6,0
68,46614,33196,45372,18622,2004,8,0
35,56258,6626,94464,71263,2015,6,0
28,113789,8424,20379,54117,1987,4,0
34,62078,13857,41751,59394,1988,4,0
43,126288,45923,94822,24782,2016,6,0
60,103524,20982,10110,29454,2018,4,0
41,116573,12425,59341,68904,2011,8,1
36,32219,2980,17087,16592,1996,9,0
65,20235,49290,28762,23173,2014,1,0
38,62929,27431,87617,34204,2016,4,1
67,147309,20440,14596,36596,1998,4,0
44,87444,42752,23313,35324,2008,2,1
46,28567,18175,71549,62202,1986,6,0
45,121834,49651,28705,31750,2007,3,0
65,90792,27385,72364,77112,1988,7,0
61,85441,39158,78445,17566,2007,5,0
49,104555,24019,83645,8190,1985,4,0
35,93698,19639,7023,89607,2008,5,0
65,144450,20994,64796,39333,1996,8,0
21,137248,35375,85073,81905,1995,3,0
45,25415,22563,97197,2589,2002,7,0
27,56159,40341,69429,26235,2010,6,0
29,63925,6776,66627,1159,1982,1,0
44,146523,37444,38848,13145,2000,7,0
21,25951,4380,42804,81909,2005,7,1
64,107388,9711,20379,32921,2015,1,0
28,28007,9782,64664,17237,2021,9,1
44,146730,18434,32766,9244,2016,6,0
31,61832,47765,73099,15743,2001,2,0
37,78596,21017,41060,47101,2021,5,0
28,141101,31707,99733,85227,1991,4,0
55,50523,40110,74122,57378,2021,7,0
55,108861,18343,21087,72126,1992,8,0
53,144194,39827,53868,57071,1990,1,0
25,106740,42652,28225,72121,1995,5,0
62,35524,6655,11643,75763,1987,3,0
59,149028,45859,98059,13237,2019,1,0
61,39282,16251,41727,16649,2019,3,0
48,43930,1526,16005,38713,1981,6,1
27,20077,4224,70697,74463,2009,7,0
29,125881,48837,21029,46409,2009,8,0
28,145501,12536,19226,49766,1991,4,0
32,40611,29541,68646,47154,1989,3,0
54,36984,14547,65603,8016,1990,5,0
53,34060,35531,33731,80563,1994,9,0
68,102985,9712,73926,49688,1995,6,0
43,104056,39565,10997,55238,1996,9,0
44,145329,10208,60506,59608,2005,6,1
57,63303,6109,83229,32897,1981,2,1
55,79207,36201,54815,51961,1991,5,0
